name agn_name ra dec lii bii angular_separation error_radius assoc_probability optical_class sed_class redshift photon_flux_limit photon_flux photon_flux_error spectral_index spectral_index_error detection_significance variability_flag curvature_flag note_flag clean_flag type_flag null
"1FGL J2135.8-4957" "CRATES J2135-5006" 323.83371 -50.11395 347.51985882 -46.39534835 0.18 0.233 0.97 FSRQ -999 2.181 -999 8e-10 3e-10 2.62 0.15 7.9 N N S Y H -999
"1FGL J0357.1-4949" "PKS 0355-500" 59.25062 -49.93017 258.69135385 -48.08152702 0.109 0.118 0.87 BLL ISP -999.0 -999 8e-10 2e-10 1.92 0.21 5.1 N N S Y H -999
"1FGL J2329.2-4954" "PKS 2326-502" 352.33692 -49.92803 331.99179277 -62.31351465 0.028 0.06 1.0 FSRQ -999 0.518 -999 4e-09 5e-10 2.42 0.06 22.2 Y N S Y H -999
"1FGL J1305.4-4928" "NGC 4945" 196.36446 -49.46806 305.27205932 13.33997529 0.004 0.098 1.0 AGN -999 0.002 -999 1.1e-09 4e-10 2.42 0.14 6.1 N N S Y H -999
"1FGL J2323.0-4919" "APMUKS(BJ) B232010.42-493502.4" 350.73843 -49.30943 334.50958076 -62.04092991 0.018 0.095 0.0 Unknown -999 -999.0 < 8e-10 -999.0 1.62 0.27 5.3 N N -999 N A -999
"1FGL J1603.8-4903" "PMN J1603-4904" 240.96119 -49.0682 332.15088824 2.5733813 0.007 0.027 1.0 Unknown -999 -999.0 -999 1.34e-08 1.1e-09 2.12 0.14 26.8 N Y S N L -999
"1FGL J2009.5-4849" "PKS 2005-489" 302.35579 -48.83128 350.37344607 -32.60072674 0.013 0.031 1.0 BLL HSP 0.071 -999 5e-09 5e-10 1.9 0.06 22.7 N N S Y H -999
"1FGL J0706.3-4849" "CRATES J0705-4847" 106.49454 -48.79014 259.25512623 -17.81006712 0.076 0.186 0.95 Unknown -999 -999.0 -999 1.1e-09 3e-10 2.38 0.16 5.8 N N S Y H -999
"1FGL J2235.7-4817" "PKS 2232-488" 338.80517 -48.59969 344.48786909 -56.06441736 0.324 0.288 0.93 FSRQ LSP 0.51 -999 1e-09 3e-10 2.43 0.17 5.7 N Y S Y H -999
"1FGL J0526.3-4829" "PKS 0524-485" 81.56942 -48.51017 254.99265343 -33.75515016 0.029 0.103 1.0 FSRQ LSP 1.299 -999 1.5e-09 3e-10 2.37 0.11 11.1 N N S Y H -999
"1FGL J0604.2-4817" "1ES 0602-482" 91.03918 -48.29059 255.69380892 -27.49712264 0.011 0.062 0.0 Unknown -999 -999.0 -999 1.1e-09 3e-10 2.12 0.16 7.2 N N -999 N A -999
"1FGL J2325.6-4758" "PKS 2322-482" 351.3625 -48.00467 335.92992939 -63.24362514 0.042 0.109 1.0 BLL ISP 0.221 -999 6e-10 3e-10 1.92 0.25 5.9 N N S Y H -999
"1FGL J1514.1-4745" "PMN J1514-4748" 228.66677 -47.80829 326.33797924 8.44800279 0.106 0.124 0.98 Unknown -999 -999.0 -999 1.2e-09 4e-10 2.29 0.2 5.7 N N S N L -999
"1FGL J0004.7-4737" "PKS 0002-478" 1.14867 -47.60517 323.94695965 -67.56643315 0.032 0.153 0.99 FSRQ LSP 0.88 -999 8e-10 3e-10 2.56 0.17 6.6 N N S Y H -999
"1FGL J1328.2-4729" "SUMSS J132840-472748" 202.16983 -47.46294 309.43180422 14.93825484 0.089 0.08 0.0 Unknown ISP -999.0 -999 3e-09 5e-10 2.13 0.1 12.0 N N -999 N A -999
"1FGL J1959.7-4730" "SUMSS J195945-472519" 299.939 -47.422 351.80483257 -30.83853102 0.078 0.067 0.0 Unknown -999 -999.0 -999 1.7e-09 3e-10 1.63 0.13 9.4 N N -999 N A -999
"1FGL J1936.9-4720" "BZB J1936-4719" 294.23375 -47.33056 351.16334255 -27.01581254 0.013 0.039 1.0 BLL HSP 0.265 -999 1.1e-09 3e-10 1.68 0.19 8.2 N N S Y H -999
"1FGL J2056.3-4714" "PKS 2052-47" 314.06862 -47.2465 352.59063942 -40.38166773 0.014 0.041 1.0 FSRQ LSP 1.489 -999 4.6e-09 5e-10 2.54 0.05 32.1 Y N S Y H -999
"1FGL J1446.8-4702" "AT20G J1446-4709" 221.57067 -47.15458 322.39343298 11.3311652 0.145 0.136 0.0 Unknown -999 -999.0 -999 1.7e-09 4e-10 2.42 0.15 6.4 N N -999 N A -999
"1FGL J0245.9-4652" "PKS 0244-470" 41.50046 -46.85483 261.82758519 -60.09392022 0.019 0.058 1.0 FSRQ LSP 1.385 -999 2.8e-09 4e-10 2.52 0.06 23.5 Y N S Y H -999
"1FGL J0702.0-4628" "PKS 0700-465" 105.39392 -46.57683 256.80681566 -17.70568278 0.13 0.121 0.98 FSRQ LSP 0.822 -999 1.3e-09 3e-10 2.35 0.14 6.9 N N S Y H -999
"1FGL J1304.0-4622" "CGRaBS J1303-4621" 195.91779 -46.35069 305.13269814 16.46877767 0.075 0.219 0.98 FSRQ -999 1.664 < 1.4e-09 -999.0 2.02 0.23 4.4 N N S Y H -999
"1FGL J0455.6-4618" "PKS 0454-46" 73.96146 -46.26647 251.96838074 -38.81438694 0.051 0.101 1.0 FSRQ LSP 0.858 -999 1.6e-09 3e-10 2.57 0.09 14.1 N N S Y H -999
"1FGL J0157.5-4613" "CGRaBS J0157-4614" 29.46304 -46.23978 272.80412233 -66.81194692 0.061 0.208 1.0 FSRQ -999 2.287 -999 1.1e-09 3e-10 2.55 0.16 6.6 N N S Y H -999
"1FGL J2126.1-4603" "PKS 2123-463" 321.62846 -46.09633 353.58667264 -45.64270683 0.076 0.254 0.98 FSRQ -999 1.67 -999 1e-09 3e-10 2.66 0.14 7.8 N N S Y H -999
"1FGL J2022.5-4532" "CRATES J2024-4544" 306.05479 -45.73361 354.34269631 -34.83422556 0.351 0.328 0.56 Unknown -999 -999.0 -999 9e-10 3e-10 2.48 0.18 5.1 N N mm N H -999
"1FGL J1322.0-4515" "CRATES J1320-4530" 200.24613 -45.50058 308.3405918 17.06064834 0.302 0.203 0.0 Unknown -999 -999.0 -999 1.3e-09 4e-10 2.78 0.1 10.6 N N -999 N A -999
"1FGL J2022.5-4532" "CRATES J2022-4513" 305.61 -45.22486 354.92559659 -34.4789929 0.311 0.328 0.64 BLL ISP -999.0 -999 9e-10 3e-10 2.48 0.18 5.1 N N mm N H -999
"1FGL J1604.7-4443" "PMN J1604-4441" 241.12925 -44.69221 335.15575729 5.76451071 0.046 0.066 1.0 Unknown -999 -999.0 -999 7.7e-09 8e-10 2.46 0.04 22.2 Y N S N L -999
"1FGL J2007.9-4430" "PKS 2004-447" 301.97992 -44.579 355.33093501 -31.84993134 0.073 0.094 1.0 AGN -999 0.24 -999 6e-10 3e-10 2.35 0.18 5.7 N N S Y H -999
"1FGL J0538.8-4404" "PKS 0537-441" 84.70979 -44.08575 250.0826959 -31.08967314 0.008 0.022 1.0 BLL LSP 0.892 -999 2.13e-08 9e-10 2.27 0.02 80.4 Y Y S Y H -999
"1FGL J1304.3-4352" "1RXS J130421.2-435308" 196.08684 -43.88594 305.39030743 18.92417887 0.017 0.044 0.0 Unknown -999 -999.0 -999 3.7e-09 5e-10 2.05 0.08 15.9 N N -999 N A -999
"1FGL J0449.5-4350" "PKS 0447-439" 72.35367 -43.83603 248.80553244 -39.91823258 0.018 0.021 1.0 BLL HSP 0.205 -999 1.11e-08 7e-10 1.95 0.03 46.9 Y N S Y H -999
"1FGL J1024.0-4332" "BZB J1023-4336" 155.98379 -43.60069 276.59687231 11.60124043 0.053 0.104 1.0 BLL HSP -999.0 -999 1.2e-09 3e-10 1.93 0.16 8.1 N N S Y H -999
"1FGL J0718.7-4320" "CRATES J0718-4319" 109.68183 -43.33047 254.92282731 -13.65027429 0.01 0.041 1.0 Unknown ISP -999.0 -999 3e-09 4e-10 1.83 0.09 15.2 N N S Y H -999
"1FGL J1849.6-4314" "CRATES J1849-4314" 282.35783 -43.23697 352.87277172 -17.85926574 0.033 0.097 0.99 BLL -999 -999.0 -999 1.2e-09 3e-10 2.18 0.13 7.5 N N S Y H -999
"1FGL J1407.5-4256" "CGRaBS J1407-4302" 211.91587 -43.04217 317.43553394 17.6726029 0.096 0.141 0.99 Unknown LSP -999.0 -999 1e-09 3e-10 2.13 0.16 5.8 N N S Y H -999
"1FGL J1325.6-4300" "Cen A" 201.36506 -43.01911 309.51589125 19.4172752 0.037 0.066 1.0 AGN -999 0.002 -999 3.5e-09 5e-10 2.71 0.06 24.7 N N S Y H -999
